shrid2,pc01_state_id,pc01_district_id
01-09-10-0002-01138700,09,10
01-09-10-0002-01138800,09,10
01-09-10-0002-01140100,09,10
01-09-10-0002-01140200,09,10
01-09-10-0002-01140300,09,10
01-09-10-0002-01140400,09,10
01-09-10-0002-01140500,09,10
01-09-10-0002-01140600,09,10
01-09-10-0002-01140700,09,10
01-09-10-0002-01140800,09,10
01-09-10-0002-01140900,09,10
01-09-10-0002-01141000,09,10
01-09-10-0002-01141100,09,10
01-09-10-0002-01141200,09,10
01-09-10-0002-01141300,09,10
01-09-10-0002-01141400,09,10
01-09-10-0002-01141900,09,10
01-09-10-0002-01142000,09,10
01-09-10-0002-01142100,09,10
01-09-10-0002-01142200,09,10
01-09-10-0002-01142300,09,10
01-09-10-0002-01142400,09,10
01-09-10-0002-01142500,09,10
01-09-10-0002-01142600,09,10
01-09-10-0002-01142900,09,10
01-09-10-0002-01143000,09,10
01-09-10-0002-01143300,09,10
01-09-10-0002-01143800,09,10
01-09-12-0004-01361900,09,12
01-09-16-0002-01671500,09,16
01-09-16-0002-01673000,09,16
01-09-16-0002-01673100,09,16
01-09-16-0002-01674000,09,16
01-09-16-0002-01674800,09,16
01-09-16-0002-01674900,09,16
01-09-16-0002-01675200,09,16
01-09-16-0002-01675800,09,16
01-09-16-0002-01675900,09,16
01-09-16-0002-01676000,09,16
01-09-16-0002-01676100,09,16
01-09-16-0002-01676200,09,16
01-09-16-0003-01706800,09,16
01-09-19-0005-02122600,09,19
01-09-19-0005-02127400,09,19
01-09-20-0003-02279700,09,20
01-09-20-0005-02336900,09,20
01-09-21-0001-02430200,09,21
01-09-21-0003-02495800,09,21
01-09-21-0003-02499600,09,21
01-09-21-0003-02505800,09,21
01-09-21-0003-02506900,09,21
01-09-21-0003-02508700,09,21
01-09-21-0003-02516900,09,21
01-09-22-0002-02616000,09,22
01-09-22-0002-02616100,09,22
01-09-22-0003-02718500,09,22
01-09-23-0001-02777600,09,23
01-09-23-0001-02787900,09,23
01-09-23-0001-02789200,09,23
01-09-23-0001-02796600,09,23
01-09-23-0002-02828200,09,23
01-09-23-0002-02829200,09,23
01-09-25-00-42514000,09,25
01-09-25-0001-03232000,09,25
01-09-25-0001-03236700,09,25
01-09-27-0002-03613300,09,27
01-09-27-0002-03613400,09,27
01-09-27-0002-03613500,09,27
01-09-27-0002-03613800,09,27
01-09-27-0002-03613900,09,27
01-09-27-0002-03614000,09,27
01-09-27-0002-03614100,09,27
01-09-27-0002-03614200,09,27
01-09-27-0002-03614300,09,27
01-09-27-0002-03614700,09,27
01-09-27-0002-03615100,09,27
01-09-27-0002-03618100,09,27
01-09-27-0002-03618200,09,27
01-09-27-0002-03618500,09,27
01-09-27-0002-03618600,09,27
01-09-27-0002-03618700,09,27
01-09-27-0002-03618800,09,27
01-09-27-0002-03618900,09,27
01-09-27-0002-03619000,09,27
01-09-27-0002-03619100,09,27
01-09-27-0002-03619200,09,27
01-09-27-0002-03619300,09,27
01-09-27-0002-03619400,09,27
01-09-36-0005-04572400,09,36
01-09-36-0005-04572500,09,36
01-09-36-0005-04572600,09,36
01-09-36-0005-04573800,09,36
01-09-36-0005-04579800,09,36
01-09-36-0005-04580000,09,36
01-09-36-0005-04581200,09,36
01-09-36-0005-04581300,09,36
01-09-36-0005-04584700,09,36
01-09-36-0005-04584900,09,36
01-09-36-0005-04585000,09,36
01-09-36-0005-04585100,09,36
01-09-36-0005-04585200,09,36
01-09-36-0005-04585300,09,36
01-09-36-0005-04585400,09,36
01-09-36-0005-04585600,09,36
01-09-42-0001-04936500,09,42
01-09-42-0003-05040300,09,42
01-09-42-0003-05040800,09,42
01-09-44-0003-05371000,09,44
01-09-45-0004-05502000,09,45
01-09-46-00-44608000,09,46
01-09-47-0001-05878500,09,47
01-09-47-0004-05937000,09,47
01-09-47-0004-05937600,09,47
01-09-47-0004-05938400,09,47
