shrid2,pc91_state_id,pc91_district_id
01-03-01-0002-00008200,20,01
01-03-01-0002-00008300,20,01
01-03-01-0002-00009300,20,01
01-03-01-0002-00009500,20,01
01-03-01-0002-00009700,20,01
01-03-01-0004-00117000,20,01
01-03-01-0004-00117100,20,01
01-03-02-0002-00209900,20,02
01-03-02-0002-00210000,20,02
01-03-02-0003-00213200,20,02
01-03-04-0004-00421300,20,05
01-03-04-0004-00423300,20,05
01-03-04-0005-00431700,20,05
01-03-05-0002-00494700,20,07
01-03-05-0002-00497500,20,07
01-03-07-0002-00681800,20,08
01-03-07-0002-00682000,20,08
01-03-07-0002-00682100,20,08
01-03-07-0003-00709400,20,08
01-03-07-0003-00710000,20,08
01-03-07-0003-00713900,20,08
01-03-07-0003-00714000,20,08
01-03-07-0003-00714100,20,08
01-03-07-0003-00714200,20,08
01-03-07-0003-00714300,20,08
01-03-07-0004-00721200,20,08
01-03-07-0004-00721300,20,08
01-03-07-0004-00721400,20,08
01-03-07-0004-00721500,20,08
01-03-07-0004-00722700,20,08
01-03-10-0003-00877200,20,12
01-03-16-0002-01109100,20,10
01-03-16-0002-01109900,20,10
01-03-16-0002-01117400,20,10
01-03-16-0002-01117600,20,10
01-03-17-0002-01187100,20,09
01-03-17-0005-01262800,20,09
01-03-17-0005-01265600,20,09
01-03-17-0005-01265900,20,09
01-03-17-0005-01266000,20,09
01-03-17-0005-01267200,20,09
01-03-17-0005-01267300,20,09
01-05-03-0002-00244500,25,02
01-05-03-0002-00245000,25,02
01-05-03-0002-00245100,25,02
01-05-05-00-40508000,25,04
01-05-06-0005-00763200,25,05
01-05-06-0006-00832100,25,05
01-05-06-0006-00849200,25,05
01-05-06-0006-00849400,25,05
01-05-06-0006-00851400,25,05
01-05-06-0006-00851600,25,05
01-05-06-0006-00856800,25,05
01-05-06-0006-00856900,25,05
01-05-07-00-40701000,25,06
01-05-08-0001-01056400,25,07
01-05-11-0004-01531400,25,08
01-05-13-0001-01643300,25,13
01-06-04-00-00000000,08,03
01-06-17-0002-00561400,08,11
01-06-18-0002-00593600,08,10
01-06-18-0002-00593700,08,10
01-06-18-0002-00593800,08,10
01-06-18-0002-00594000,08,10
01-06-18-0002-00594100,08,10
01-06-18-0002-00594200,08,10
01-06-18-0002-00594300,08,10
01-06-18-0002-00594500,08,10
01-06-18-0002-00594600,08,10
01-06-18-0002-00594700,08,10
01-06-18-0002-00594800,08,10
01-06-18-0002-00594900,08,10
01-06-18-0002-00595000,08,10
01-06-18-0002-00595100,08,10
01-06-18-0002-00595200,08,10
01-06-18-0002-00595300,08,10
01-06-18-0002-00595600,08,10
01-06-18-0002-00595700,08,10
01-06-18-0002-00595800,08,10
01-06-18-0002-00595900,08,10
01-06-18-0002-00596000,08,10
01-06-18-0002-00596100,08,10
01-06-18-0002-00596200,08,10
01-06-18-0002-00596300,08,10
01-06-18-0002-00596400,08,10
01-06-18-0002-00596500,08,10
01-06-18-0002-00596600,08,10
01-06-18-0002-00596700,08,10
01-06-18-0002-00596800,08,10
01-06-18-0002-00596900,08,10
01-06-18-0002-00597000,08,10
01-06-18-0002-00598700,08,10
